input_domain,prospect_tier,overall_score,design_score,mobile_score,performance_score,seo_score,trust_score,accessibility_score,best_practices_score,lcp_seconds,cls,tbt_ms,pagespeed_used,url,response_time_sec,is_https,pitch_points_count,pitch_summary
midtownatl.mintdentistry.com,URGENT LEAD (Site Broken / Unreachable),0,0,0,0,0,0,,,,,,False,https://midtownatl.mintdentistry.com,0.22,True,2,Website is currently unreachable or returning server error (403). | Business is losing 100% of online visitors and potential customers.
thevaldostadentist.com,HIGH POTENTIAL LEAD (Major Flaws / Redesign Needed),48,0,65,35,100,100,,,,,,False,https://thevaldostadentist.com,0.93,True,10,"[Stage 1 Pre-Filter] POTENTIAL OVERFLOW: Fixed pixel width containers (>900px) detected without media queries. Run !confirm for browser proof. | BROKEN CONTENT WIDGET: Empty article/blog widget detected displaying broken pagination ('1of0' / zero articles available). | [Stage 1 Pre-Filter] UNCONTAINED INPUTS: Interactive form fields positioned outside form containers. Run !confirm for viewport verification. | Lacks modern web typography (using default browser fonts), reducing brand prestige."
atlfamilydentistry.com,MEDIUM POTENTIAL LEAD (Modernization Opportunity),58,20,100,35,80,90,,,,,,False,https://atlfamilydentistry.com,1.39,True,9,"BROKEN CONTENT WIDGET: Empty article/blog widget detected displaying broken pagination ('1of0' / zero articles available). | [Stage 1 Pre-Filter] POTENTIAL OVERLAP RISK: Uncontained absolute CSS positioning detected. Run !confirm to verify bounding box collisions. | CONTRIBUTING PATTERN: Layout relies on legacy float positioning alongside fixed dimensions, compounding mobile layout shift issues. | 10 images are missing ALT descriptive tags (hurts image search ranking and accessibility)."
ansleymidtowndental.com,MEDIUM POTENTIAL LEAD (Modernization Opportunity),58,15,100,50,90,75,,,,,,False,https://ansleymidtowndental.com,1.93,True,8,"BROKEN CONTENT WIDGET: Empty article/blog widget detected displaying broken pagination ('1of0' / zero articles available). | [Stage 1 Pre-Filter] POTENTIAL OVERLAP RISK: Uncontained absolute CSS positioning detected. Run !confirm to verify bounding box collisions. | CONTRIBUTING PATTERN: Layout relies on legacy float positioning alongside fixed dimensions, compounding mobile layout shift issues. | Excessive inline styles detected; makes visual modifications and re-branding inefficient."
fidanoskidentistry.com,MEDIUM POTENTIAL LEAD (Modernization Opportunity),59,30,100,10,80,100,,,,,,False,https://fidanoskidentistry.com,4.16,True,8,[Stage 1 Pre-Filter] POTENTIAL OVERLAP RISK: Uncontained absolute CSS positioning detected. Run !confirm to verify bounding box collisions. | Excessive inline styles detected; makes visual modifications and re-branding inefficient. | 53 images are missing ALT descriptive tags (hurts image search ranking and accessibility). | Lacks interactive micro-animations or modern hover state feedback for visitors.
brightsmilefamilydental.com,MEDIUM POTENTIAL LEAD (Modernization Opportunity),62,40,100,50,75,65,,,,,,False,https://brightsmilefamilydental.com,1.3,True,8,"[Stage 1 Pre-Filter] POTENTIAL OVERLAP RISK: Uncontained absolute CSS positioning detected. Run !confirm to verify bounding box collisions. | CONTRIBUTING PATTERN: Layout relies on legacy float positioning alongside fixed dimensions, compounding mobile layout shift issues. | Excessive inline styles detected; makes visual modifications and re-branding inefficient. | No clear Call-To-Action (CTA) buttons found above or below the fold to convert visitors into phone calls/leads."
perimeterdentalga.com,MEDIUM POTENTIAL LEAD (Modernization Opportunity),63,30,100,50,65,100,,,,,,False,https://perimeterdentalga.com,0.6,True,7,BROKEN CONTENT WIDGET: Empty article/blog widget detected displaying broken pagination ('1of0' / zero articles available). | [Stage 1 Pre-Filter] POTENTIAL OVERLAP RISK: Uncontained absolute CSS positioning detected. Run !confirm to verify bounding box collisions. | 12 images are missing ALT descriptive tags (hurts image search ranking and accessibility). | No clear Call-To-Action (CTA) buttons found above or below the fold to convert visitors into phone calls/leads.
dentistmariettaga.com,MEDIUM POTENTIAL LEAD (Modernization Opportunity),64,30,100,35,90,100,,,,,,False,https://dentistmariettaga.com,0.52,True,8,"[Stage 1 Pre-Filter] POTENTIAL OVERLAP RISK: Uncontained absolute CSS positioning detected. Run !confirm to verify bounding box collisions. | CONTRIBUTING PATTERN: Layout relies on legacy float positioning alongside fixed dimensions, compounding mobile layout shift issues. | Excessive inline styles detected; makes visual modifications and re-branding inefficient. | 41 images are missing ALT descriptive tags (hurts image search ranking and accessibility)."
mysagedental.com,MEDIUM POTENTIAL LEAD (Modernization Opportunity),65,35,100,35,85,100,,,,,,False,https://mysagedental.com,0.18,True,7,BROKEN CONTENT WIDGET: Empty article/blog widget detected displaying broken pagination ('1of0' / zero articles available). | Uses legacy image formats (GIF/BMP) instead of crisp vector SVG or high-compression WebP. | 5 images are missing ALT descriptive tags (hurts image search ranking and accessibility). | No clear Call-To-Action (CTA) buttons found above or below the fold to convert visitors into phone calls/leads.
atlsedationdentistry.com,MEDIUM POTENTIAL LEAD (Modernization Opportunity),66,40,100,30,90,90,,,,,,False,https://atlsedationdentistry.com,2.05,True,8,"[Stage 1 Pre-Filter] POTENTIAL OVERLAP RISK: Uncontained absolute CSS positioning detected. Run !confirm to verify bounding box collisions. | CONTRIBUTING PATTERN: Layout relies on legacy float positioning alongside fixed dimensions, compounding mobile layout shift issues. | Excessive inline styles detected; makes visual modifications and re-branding inefficient. | No clear Call-To-Action (CTA) buttons found above or below the fold to convert visitors into phone calls/leads."
